time,node,CPU_Power (W),MEM_Power (W),PSU1_IIN (% A),PSU1_PIN (W),PSU1_POUT (W),PSU2_IIN (% A),PSU2_PIN (W),PSU2_POUT (W),Total_Power (W)
2023-06-15T11:07:52.139,n2,83.0,43.0,0.65,138.0,116.0,0.6,126.0,108.0,258.0
2023-06-15T11:07:52.139,n3,44.0,35.0,0.5,102.0,68.0,0.45,96.0,84.0,198.0
2023-06-15T11:07:52.139,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:08:22.83,n1,59.0,50.0,0.55,114.0,92.0,0.55,114.0,100.0,228.0
2023-06-15T11:08:22.83,n2,83.0,47.0,0.65,138.0,100.0,0.6,126.0,108.0,258.0
2023-06-15T11:08:22.83,n3,44.0,0.0,0.5,96.0,84.0,0.45,96.0,76.0,198.0
2023-06-15T11:08:22.84,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:08:52.133,n1,64.0,32.0,0.55,114.0,92.0,0.55,114.0,92.0,222.0
2023-06-15T11:08:52.134,n2,82.0,44.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:08:52.134,n3,44.0,0.0,0.5,102.0,68.0,0.5,102.0,76.0,204.0
2023-06-15T11:08:52.134,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:09:22.186,n1,64.0,38.0,0.55,114.0,84.0,0.55,114.0,100.0,228.0
2023-06-15T11:09:22.186,n2,82.0,44.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:09:22.186,n3,45.0,10.0,0.5,102.0,68.0,0.45,96.0,76.0,198.0
2023-06-15T11:09:22.186,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:09:52.192,n1,61.0,42.0,0.55,114.0,92.0,0.55,114.0,100.0,228.0
2023-06-15T11:09:52.192,n2,83.0,46.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:09:52.192,n3,44.0,0.0,0.5,96.0,76.0,0.45,96.0,68.0,198.0
2023-06-15T11:09:52.192,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:10:22.173,n1,58.0,33.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T11:10:22.173,n2,82.0,43.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:10:22.173,n3,43.0,0.0,0.5,96.0,68.0,0.45,102.0,84.0,198.0
2023-06-15T11:10:22.173,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:10:52.191,n1,79.0,32.0,0.6,120.0,92.0,0.55,120.0,100.0,240.0
2023-06-15T11:10:52.191,n2,83.0,44.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:10:52.191,n3,43.0,0.0,0.5,96.0,76.0,0.45,96.0,76.0,192.0
2023-06-15T11:10:52.191,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:11:22.242,n1,58.0,32.0,0.55,114.0,100.0,0.55,114.0,100.0,228.0
2023-06-15T11:11:22.242,n2,82.0,43.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:11:22.243,n3,44.0,11.0,0.5,96.0,68.0,0.45,102.0,68.0,198.0
2023-06-15T11:11:22.243,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:11:52.301,n1,63.0,50.0,0.6,120.0,108.0,0.55,114.0,100.0,240.0
2023-06-15T11:11:52.301,n2,83.0,41.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:11:52.301,n3,50.0,31.0,0.5,96.0,76.0,0.45,96.0,76.0,198.0
2023-06-15T11:11:52.301,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:12:22.274,n1,59.0,31.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T11:12:22.274,n2,83.0,45.0,0.65,138.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:12:22.274,n3,44.0,30.0,0.5,96.0,68.0,0.45,102.0,76.0,198.0
2023-06-15T11:12:22.274,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:12:52.293,n1,77.0,53.0,0.6,120.0,100.0,0.55,120.0,100.0,234.0
2023-06-15T11:12:52.293,n2,83.0,38.0,0.65,132.0,100.0,0.6,126.0,116.0,258.0
2023-06-15T11:12:52.293,n3,44.0,0.0,0.5,102.0,76.0,0.45,96.0,76.0,198.0
2023-06-15T11:12:52.293,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:13:22.366,n1,65.0,33.0,0.55,114.0,84.0,0.55,114.0,92.0,228.0
2023-06-15T11:13:22.366,n2,82.0,45.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:13:22.366,n3,43.0,0.0,0.5,102.0,76.0,0.45,102.0,84.0,198.0
2023-06-15T11:13:22.366,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
